index,confidence,hypo_step,max_arm_length,num_threads,target,feasible
981,34,2,10,29,-237974,False
9404,64,3,3,1,-41391,False
3236,44,1,13,21,-305571,False
15448,54,2,1,25,-165925,False
18131,64,3,1,23,-192832,False
284,44,1,1,32,-398048,False
16215,64,2,1,21,-148911,False
10323,54,3,16,17,-158712,False
5714,64,3,16,13,-117390,False
6740,64,3,7,10,-81700,False
7388,64,3,3,8,-62520,False
8000,64,3,1,6,-53340,False
8239,14,3,4,5,-57505,False
8299,14,2,1,5,-60045,False
8024,64,2,16,5,-96265,False
8198,64,3,6,5,-57210,False
8288,64,3,1,5,-49665,False
8576,64,3,1,4,-41524,False
8593,14,1,1,4,-109356,False
6854,64,2,1,10,-83320,False
8864,64,3,1,3,-42909,False
12625,14,1,1,10,-129080,False
7718,64,2,1,7,-78183,False
8582,64,2,1,4,-55208,False
5707,14,2,1,14,-111608,False
16404,54,3,1,32,-273920,False
8869,14,3,1,3,-41451,False
8875,14,2,1,3,-57516,False
8779,14,3,6,3,-54657,False
6008,64,2,16,12,-128268,False
11744,64,3,1,13,-90233,False
8869,14,3,1,3,-41451,False
8579,34,3,1,4,-40560,False
5708,64,1,1,14,-185640,False
7442,64,3,16,7,-83713,False
8581,14,3,1,4,-42604,False
8578,44,3,1,4,-40312,False
8867,34,3,1,3,-40638,False
12901,14,3,1,9,-94500,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
13484,64,1,1,7,-110908,False
10598,64,2,1,17,-121040,False
1445,14,3,16,27,-223722,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
13219,14,1,16,7,-176169,False
4837,14,3,1,17,-122774,False
8578,44,3,1,4,-40312,False
2603,14,2,16,23,-205942,False
8578,44,3,1,4,-40312,False
9200,64,1,15,1,-131024,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
7147,14,2,1,9,-93411,False
8867,34,3,1,3,-40638,False
1997,14,1,2,26,-292240,False
8578,44,3,1,4,-40312,False
8578,44,3,1,4,-40312,False
8324,64,3,15,4,-73916,False
4609,14,2,14,17,-202827,False
5408,64,3,1,15,-118875,False
4256,64,3,1,19,-136686,False
