Starting label pr__ei, seed 740398060, iteration 0, time: 0.0001952648162841797, current best obj: -215684.0.
Starting label pr__ei, seed 740398060, iteration 1, time: 45.90126967430115, current best obj: -215684.0.
Starting label pr__ei, seed 740398060, iteration 2, time: 90.60599708557129, current best obj: -200229.0.
Starting label pr__ei, seed 740398060, iteration 3, time: 134.1184754371643, current best obj: -117480.0.
Starting label pr__ei, seed 740398060, iteration 4, time: 178.6000461578369, current best obj: -117480.0.
Starting label pr__ei, seed 740398060, iteration 5, time: 223.37990975379944, current best obj: -117480.0.
Starting label pr__ei, seed 740398060, iteration 6, time: 270.0877676010132, current best obj: -94000.0.
Starting label pr__ei, seed 740398060, iteration 7, time: 315.12019181251526, current best obj: -83005.0.
Starting label pr__ei, seed 740398060, iteration 8, time: 360.94356870651245, current best obj: -60252.0.
Starting label pr__ei, seed 740398060, iteration 9, time: 405.318883895874, current best obj: -60252.0.
Starting label pr__ei, seed 740398060, iteration 10, time: 448.88943433761597, current best obj: -60252.0.
Starting label pr__ei, seed 740398060, iteration 11, time: 494.70371985435486, current best obj: -51000.0.
Starting label pr__ei, seed 740398060, iteration 12, time: 539.0166003704071, current best obj: -51000.0.
Starting label pr__ei, seed 740398060, iteration 13, time: 584.9828073978424, current best obj: -42604.0.
Starting label pr__ei, seed 740398060, iteration 14, time: 630.5466675758362, current best obj: -41451.0.
Starting label pr__ei, seed 740398060, iteration 15, time: 674.9451930522919, current best obj: -41451.0.
Starting label pr__ei, seed 740398060, iteration 16, time: 720.288911819458, current best obj: -41451.0.
Starting label pr__ei, seed 740398060, iteration 17, time: 764.8956913948059, current best obj: -41451.0.
Starting label pr__ei, seed 740398060, iteration 18, time: 808.5670437812805, current best obj: -41451.0.
Starting label pr__ei, seed 740398060, iteration 19, time: 854.6184282302856, current best obj: -41451.0.
Starting label pr__ei, seed 740398060, iteration 20, time: 899.0902216434479, current best obj: -41451.0.
Starting label pr__ei, seed 740398060, iteration 21, time: 944.3626365661621, current best obj: -41451.0.
Starting label pr__ei, seed 740398060, iteration 22, time: 990.698971748352, current best obj: -41451.0.
Starting label pr__ei, seed 740398060, iteration 23, time: 1042.7360813617706, current best obj: -41451.0.
Starting label pr__ei, seed 740398060, iteration 24, time: 1094.2136118412018, current best obj: -41451.0.
Starting label pr__ei, seed 740398060, iteration 25, time: 1148.3797829151154, current best obj: -41451.0.
Starting label pr__ei, seed 740398060, iteration 26, time: 1202.2282605171204, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 27, time: 1256.1711072921753, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 28, time: 1309.9476761817932, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 29, time: 1363.0792078971863, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 30, time: 1416.0496189594269, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 31, time: 1470.3503699302673, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 32, time: 1523.7609214782715, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 33, time: 1578.3996369838715, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 34, time: 1632.694488286972, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 35, time: 1686.9387719631195, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 36, time: 1741.076146364212, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 37, time: 1796.3324751853943, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 38, time: 1851.7823414802551, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 39, time: 1907.007749080658, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 40, time: 1964.7595176696777, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 41, time: 2021.1884570121765, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 42, time: 2081.08704328537, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 43, time: 2136.3592431545258, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 44, time: 2186.5744972229004, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 45, time: 2234.645472764969, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 46, time: 2282.4183387756348, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 47, time: 2330.6391048431396, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 48, time: 2379.1868181228638, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 49, time: 2425.2723681926727, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 50, time: 2471.6650834083557, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 51, time: 2517.986340045929, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 52, time: 2564.5618436336517, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 53, time: 2611.0296082496643, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 54, time: 2657.7873384952545, current best obj: -40560.0.
Starting label pr__ei, seed 740398060, iteration 55, time: 2704.8677155971527, current best obj: -40312.0.
Starting label pr__ei, seed 740398060, iteration 56, time: 2752.1803619861603, current best obj: -40312.0.
Starting label pr__ei, seed 740398060, iteration 57, time: 2799.8525183200836, current best obj: -40312.0.
Starting label pr__ei, seed 740398060, iteration 58, time: 2847.729600906372, current best obj: -40312.0.
Starting label pr__ei, seed 740398060, iteration 59, time: 2895.392050266266, current best obj: -40312.0.
