Starting label pr__ei, seed 73703563, iteration 0, time: 0.00014352798461914062, current best obj: -126585.0.
Starting label pr__ei, seed 73703563, iteration 1, time: 38.55697512626648, current best obj: -70203.0.
Starting label pr__ei, seed 73703563, iteration 2, time: 75.75782942771912, current best obj: -54312.0.
Starting label pr__ei, seed 73703563, iteration 3, time: 114.25297427177429, current best obj: -54312.0.
Starting label pr__ei, seed 73703563, iteration 4, time: 152.50256323814392, current best obj: -54312.0.
Starting label pr__ei, seed 73703563, iteration 5, time: 192.07541918754578, current best obj: -54312.0.
Starting label pr__ei, seed 73703563, iteration 6, time: 253.58943510055542, current best obj: -49665.0.
Starting label pr__ei, seed 73703563, iteration 7, time: 317.9778296947479, current best obj: -41524.0.
Starting label pr__ei, seed 73703563, iteration 8, time: 379.5077266693115, current best obj: -41524.0.
Starting label pr__ei, seed 73703563, iteration 9, time: 440.20725274086, current best obj: -41524.0.
Starting label pr__ei, seed 73703563, iteration 10, time: 491.30444264411926, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 11, time: 530.4718205928802, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 12, time: 570.6353347301483, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 13, time: 610.9244673252106, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 14, time: 675.7533020973206, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 15, time: 748.4261178970337, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 16, time: 816.2621698379517, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 17, time: 879.9239275455475, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 18, time: 949.927268743515, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 19, time: 991.2501699924469, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 20, time: 1032.0127143859863, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 21, time: 1070.5752537250519, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 22, time: 1109.4413392543793, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 23, time: 1152.9481666088104, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 24, time: 1197.180878162384, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 25, time: 1241.6031970977783, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 26, time: 1286.6246900558472, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 27, time: 1332.8750269412994, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 28, time: 1380.3102221488953, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 29, time: 1430.3843684196472, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 30, time: 1481.2124485969543, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 31, time: 1534.439017534256, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 32, time: 1587.0489296913147, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 33, time: 1640.1981763839722, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 34, time: 1693.4785056114197, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 35, time: 1741.8170647621155, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 36, time: 1792.9284069538116, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 37, time: 1846.7620680332184, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 38, time: 1901.1307365894318, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 39, time: 1954.3805179595947, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 40, time: 2008.7243521213531, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 41, time: 2058.768786907196, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 42, time: 2111.2432708740234, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 43, time: 2164.9377467632294, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 44, time: 2220.8823721408844, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 45, time: 2276.457995414734, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 46, time: 2332.4902832508087, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 47, time: 2384.5569603443146, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 48, time: 2437.852409362793, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 49, time: 2490.7697887420654, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 50, time: 2545.5917584896088, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 51, time: 2600.136096715927, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 52, time: 2654.6852383613586, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 53, time: 2706.521794319153, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 54, time: 2840.2460718154907, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 55, time: 2971.642102956772, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 56, time: 3074.297013759613, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 57, time: 3132.42586350441, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 58, time: 3184.367336988449, current best obj: -41451.0.
Starting label pr__ei, seed 73703563, iteration 59, time: 3238.5523688793182, current best obj: -41451.0.
