Starting label pr__ei, seed 593188334, iteration 0, time: 0.00017714500427246094, current best obj: -128048.0.
Starting label pr__ei, seed 593188334, iteration 1, time: 75.02170705795288, current best obj: -128048.0.
Starting label pr__ei, seed 593188334, iteration 2, time: 145.98463606834412, current best obj: -114590.0.
Starting label pr__ei, seed 593188334, iteration 3, time: 219.6377727985382, current best obj: -56322.0.
Starting label pr__ei, seed 593188334, iteration 4, time: 293.6342976093292, current best obj: -56322.0.
Starting label pr__ei, seed 593188334, iteration 5, time: 367.0389473438263, current best obj: -51606.0.
Starting label pr__ei, seed 593188334, iteration 6, time: 441.04517912864685, current best obj: -51000.0.
Starting label pr__ei, seed 593188334, iteration 7, time: 514.7725982666016, current best obj: -51000.0.
Starting label pr__ei, seed 593188334, iteration 8, time: 589.2322306632996, current best obj: -51000.0.
Starting label pr__ei, seed 593188334, iteration 9, time: 663.0402581691742, current best obj: -41524.0.
Starting label pr__ei, seed 593188334, iteration 10, time: 740.7339470386505, current best obj: -41524.0.
Starting label pr__ei, seed 593188334, iteration 11, time: 823.6380305290222, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 12, time: 905.9357509613037, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 13, time: 987.0260627269745, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 14, time: 1068.6732680797577, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 15, time: 1149.8230504989624, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 16, time: 1229.7152695655823, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 17, time: 1311.593992471695, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 18, time: 1394.9290852546692, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 19, time: 1473.6260788440704, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 20, time: 1551.3586530685425, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 21, time: 1628.77911901474, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 22, time: 1707.3004741668701, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 23, time: 1799.0740187168121, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 24, time: 1892.2812128067017, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 25, time: 1968.3030560016632, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 26, time: 2021.4723637104034, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 27, time: 2078.1894102096558, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 28, time: 2144.6522245407104, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 29, time: 2211.2214970588684, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 30, time: 2276.3197872638702, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 31, time: 2343.792999982834, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 32, time: 2411.2174577713013, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 33, time: 2477.711836576462, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 34, time: 2542.6185505390167, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 35, time: 2608.836894273758, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 36, time: 2671.419543981552, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 37, time: 2735.0037734508514, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 38, time: 2800.0061225891113, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 39, time: 2864.457837820053, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 40, time: 2936.4375128746033, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 41, time: 2995.1299974918365, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 42, time: 3059.903661966324, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 43, time: 3125.043272972107, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 44, time: 3190.4469361305237, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 45, time: 3255.6334035396576, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 46, time: 3320.424887895584, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 47, time: 3385.6764822006226, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 48, time: 3450.1796691417694, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 49, time: 3514.8636643886566, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 50, time: 3580.292830467224, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 51, time: 3645.84432888031, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 52, time: 3704.3726584911346, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 53, time: 3782.9779357910156, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 54, time: 3847.9202766418457, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 55, time: 3921.3332369327545, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 56, time: 3996.231197834015, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 57, time: 4072.419481754303, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 58, time: 4144.057918548584, current best obj: -40312.0.
Starting label pr__ei, seed 593188334, iteration 59, time: 4216.381705284119, current best obj: -40312.0.
