Starting label pr__ei, seed 794264013, iteration 0, time: 0.0001990795135498047, current best obj: -88090.0.
Starting label pr__ei, seed 794264013, iteration 1, time: 45.123207330703735, current best obj: -88090.0.
Starting label pr__ei, seed 794264013, iteration 2, time: 92.04452204704285, current best obj: -60036.0.
Starting label pr__ei, seed 794264013, iteration 3, time: 134.8490869998932, current best obj: -60036.0.
Starting label pr__ei, seed 794264013, iteration 4, time: 183.1067671775818, current best obj: -60036.0.
Starting label pr__ei, seed 794264013, iteration 5, time: 228.20269393920898, current best obj: -60036.0.
Starting label pr__ei, seed 794264013, iteration 6, time: 274.20436429977417, current best obj: -43845.0.
Starting label pr__ei, seed 794264013, iteration 7, time: 319.90793228149414, current best obj: -43845.0.
Starting label pr__ei, seed 794264013, iteration 8, time: 368.26454877853394, current best obj: -43845.0.
Starting label pr__ei, seed 794264013, iteration 9, time: 415.2875642776489, current best obj: -43845.0.
Starting label pr__ei, seed 794264013, iteration 10, time: 459.9630115032196, current best obj: -43845.0.
Starting label pr__ei, seed 794264013, iteration 11, time: 507.1045398712158, current best obj: -43845.0.
Starting label pr__ei, seed 794264013, iteration 12, time: 555.0674803256989, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 13, time: 601.6408262252808, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 14, time: 649.5416934490204, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 15, time: 700.0257198810577, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 16, time: 748.2763113975525, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 17, time: 796.8890500068665, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 18, time: 844.203310251236, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 19, time: 893.0688171386719, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 20, time: 942.6907334327698, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 21, time: 992.0424835681915, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 22, time: 1040.035536289215, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 23, time: 1096.1811728477478, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 24, time: 1152.9714813232422, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 25, time: 1210.970533132553, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 26, time: 1268.5178360939026, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 27, time: 1326.5877795219421, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 28, time: 1383.331656217575, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 29, time: 1442.8655705451965, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 30, time: 1502.9704146385193, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 31, time: 1563.8504643440247, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 32, time: 1621.555540561676, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 33, time: 1679.771601676941, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 34, time: 1738.2067940235138, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 35, time: 1795.5296313762665, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 36, time: 1852.5138430595398, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 37, time: 1911.9389510154724, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 38, time: 1970.7204027175903, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 39, time: 2032.517716884613, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 40, time: 2094.9824640750885, current best obj: -42909.0.
Starting label pr__ei, seed 794264013, iteration 41, time: 2154.4751164913177, current best obj: -42604.0.
Starting label pr__ei, seed 794264013, iteration 42, time: 2213.9563806056976, current best obj: -42604.0.
Starting label pr__ei, seed 794264013, iteration 43, time: 2276.2616004943848, current best obj: -42604.0.
Starting label pr__ei, seed 794264013, iteration 44, time: 2337.8653705120087, current best obj: -42604.0.
Starting label pr__ei, seed 794264013, iteration 45, time: 2400.567514896393, current best obj: -42604.0.
Starting label pr__ei, seed 794264013, iteration 46, time: 2462.57949590683, current best obj: -42604.0.
Starting label pr__ei, seed 794264013, iteration 47, time: 2524.168263912201, current best obj: -42604.0.
Starting label pr__ei, seed 794264013, iteration 48, time: 2585.6924607753754, current best obj: -42604.0.
Starting label pr__ei, seed 794264013, iteration 49, time: 2647.9541997909546, current best obj: -41451.0.
Starting label pr__ei, seed 794264013, iteration 50, time: 2709.1022896766663, current best obj: -41451.0.
Starting label pr__ei, seed 794264013, iteration 51, time: 2769.687038898468, current best obj: -41451.0.
Starting label pr__ei, seed 794264013, iteration 52, time: 2831.3956248760223, current best obj: -41451.0.
Starting label pr__ei, seed 794264013, iteration 53, time: 2892.2900326251984, current best obj: -41451.0.
Starting label pr__ei, seed 794264013, iteration 54, time: 2955.9344868659973, current best obj: -41451.0.
Starting label pr__ei, seed 794264013, iteration 55, time: 3018.2612664699554, current best obj: -41451.0.
Starting label pr__ei, seed 794264013, iteration 56, time: 3080.326563358307, current best obj: -41451.0.
Starting label pr__ei, seed 794264013, iteration 57, time: 3141.170462369919, current best obj: -41451.0.
Starting label pr__ei, seed 794264013, iteration 58, time: 3201.5154690742493, current best obj: -41451.0.
Starting label pr__ei, seed 794264013, iteration 59, time: 3264.063549041748, current best obj: -41451.0.
