Starting label pr__ei, seed 979621862, iteration 0, time: 0.00018095970153808594, current best obj: -95544.0.
Starting label pr__ei, seed 979621862, iteration 1, time: 48.01562142372131, current best obj: -95544.0.
Starting label pr__ei, seed 979621862, iteration 2, time: 96.63470101356506, current best obj: -73656.0.
Starting label pr__ei, seed 979621862, iteration 3, time: 144.931391954422, current best obj: -73656.0.
Starting label pr__ei, seed 979621862, iteration 4, time: 192.1375858783722, current best obj: -73656.0.
Starting label pr__ei, seed 979621862, iteration 5, time: 240.13176584243774, current best obj: -73656.0.
Starting label pr__ei, seed 979621862, iteration 6, time: 287.26828265190125, current best obj: -73656.0.
Starting label pr__ei, seed 979621862, iteration 7, time: 338.8076298236847, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 8, time: 386.31961464881897, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 9, time: 437.0796151161194, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 10, time: 487.01072096824646, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 11, time: 536.9497292041779, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 12, time: 588.6947202682495, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 13, time: 638.3242506980896, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 14, time: 698.4973876476288, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 15, time: 761.9859747886658, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 16, time: 822.0299897193909, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 17, time: 875.3771905899048, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 18, time: 926.0722377300262, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 19, time: 976.5560021400452, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 20, time: 1026.82950258255, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 21, time: 1084.0132195949554, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 22, time: 1136.7834951877594, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 23, time: 1190.5652332305908, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 24, time: 1245.9352858066559, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 25, time: 1301.229618549347, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 26, time: 1358.4126467704773, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 27, time: 1424.3692646026611, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 28, time: 1494.0891091823578, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 29, time: 1552.0332012176514, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 30, time: 1608.0828740596771, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 31, time: 1666.6688113212585, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 32, time: 1724.6626932621002, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 33, time: 1782.6589748859406, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 34, time: 1842.0677227973938, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 35, time: 1900.4234943389893, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 36, time: 1961.9188344478607, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 37, time: 2019.9461860656738, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 38, time: 2077.3265335559845, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 39, time: 2137.844029188156, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 40, time: 2196.5905508995056, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 41, time: 2256.27059173584, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 42, time: 2318.789595603943, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 43, time: 2378.2333381175995, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 44, time: 2440.685200214386, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 45, time: 2503.769734621048, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 46, time: 2565.103383541107, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 47, time: 2627.8147609233856, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 48, time: 2691.172513484955, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 49, time: 2751.8397147655487, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 50, time: 2812.0667011737823, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 51, time: 2881.726027727127, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 52, time: 2945.452268600464, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 53, time: 3006.8421363830566, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 54, time: 3067.7866699695587, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 55, time: 3128.9894468784332, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 56, time: 3195.994488954544, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 57, time: 3263.112682580948, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 58, time: 3322.77232670784, current best obj: -41451.0.
Starting label pr__ei, seed 979621862, iteration 59, time: 3384.702514886856, current best obj: -41451.0.
