Starting label pr__ei, seed 948633816, iteration 0, time: 0.00019359588623046875, current best obj: -71981.0.
Starting label pr__ei, seed 948633816, iteration 1, time: 55.115715980529785, current best obj: -71981.0.
Starting label pr__ei, seed 948633816, iteration 2, time: 108.13728284835815, current best obj: -58737.0.
Starting label pr__ei, seed 948633816, iteration 3, time: 161.13024163246155, current best obj: -52420.0.
Starting label pr__ei, seed 948633816, iteration 4, time: 215.7526195049286, current best obj: -51000.0.
Starting label pr__ei, seed 948633816, iteration 5, time: 271.9556667804718, current best obj: -51000.0.
Starting label pr__ei, seed 948633816, iteration 6, time: 329.2806468009949, current best obj: -41524.0.
Starting label pr__ei, seed 948633816, iteration 7, time: 384.73592734336853, current best obj: -41524.0.
Starting label pr__ei, seed 948633816, iteration 8, time: 442.9665148258209, current best obj: -41524.0.
Starting label pr__ei, seed 948633816, iteration 9, time: 498.6183204650879, current best obj: -41524.0.
Starting label pr__ei, seed 948633816, iteration 10, time: 555.66699051857, current best obj: -41524.0.
Starting label pr__ei, seed 948633816, iteration 11, time: 606.491917848587, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 12, time: 659.6824748516083, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 13, time: 715.5078473091125, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 14, time: 775.8930206298828, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 15, time: 837.4961123466492, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 16, time: 898.7820720672607, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 17, time: 961.4480514526367, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 18, time: 1016.9137849807739, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 19, time: 1078.100294828415, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 20, time: 1131.293735742569, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 21, time: 1187.4852886199951, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 22, time: 1245.4538917541504, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 23, time: 1313.1925451755524, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 24, time: 1385.751443862915, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 25, time: 1456.6868495941162, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 26, time: 1525.8177151679993, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 27, time: 1591.1800258159637, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 28, time: 1659.7807669639587, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 29, time: 1726.0219123363495, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 30, time: 1795.8902642726898, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 31, time: 1868.8278992176056, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 32, time: 1940.9762454032898, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 33, time: 2011.7838282585144, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 34, time: 2081.093994617462, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 35, time: 2146.082451581955, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 36, time: 2215.582501888275, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 37, time: 2283.274127960205, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 38, time: 2356.7119970321655, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 39, time: 2426.3694276809692, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 40, time: 2497.253564596176, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 41, time: 2567.6313099861145, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 42, time: 2640.1222536563873, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 43, time: 2712.04980802536, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 44, time: 2785.6626358032227, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 45, time: 2858.72176194191, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 46, time: 2929.687074661255, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 47, time: 3004.0733506679535, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 48, time: 3076.3957018852234, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 49, time: 3153.8441247940063, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 50, time: 3226.761647939682, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 51, time: 3304.507793903351, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 52, time: 3377.0994386672974, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 53, time: 3449.6947252750397, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 54, time: 3523.7465393543243, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 55, time: 3598.1097140312195, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 56, time: 3675.0337450504303, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 57, time: 3750.386393070221, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 58, time: 3830.067620754242, current best obj: -40312.0.
Starting label pr__ei, seed 948633816, iteration 59, time: 3908.926027536392, current best obj: -40312.0.
