Starting label pr__ei, seed 255246025, iteration 0, time: 0.0001571178436279297, current best obj: -2893.43318414745.
Starting label pr__ei, seed 255246025, iteration 1, time: 203.44289183616638, current best obj: -2893.43318414745.
Starting label pr__ei, seed 255246025, iteration 2, time: 364.91981649398804, current best obj: -2893.43318414745.
Starting label pr__ei, seed 255246025, iteration 3, time: 538.9859857559204, current best obj: -2893.43318414745.
Starting label pr__ei, seed 255246025, iteration 4, time: 734.3595540523529, current best obj: -2893.43318414745.
Starting label pr__ei, seed 255246025, iteration 5, time: 942.1899080276489, current best obj: -2893.43318414745.
Starting label pr__ei, seed 255246025, iteration 6, time: 1147.3679296970367, current best obj: -2893.43318414745.
Starting label pr__ei, seed 255246025, iteration 7, time: 1356.92822432518, current best obj: -2893.43318414745.
Starting label pr__ei, seed 255246025, iteration 8, time: 1650.0153086185455, current best obj: -2266.65124519866.
Starting label pr__ei, seed 255246025, iteration 9, time: 1990.111732006073, current best obj: -2266.65124519866.
Starting label pr__ei, seed 255246025, iteration 10, time: 2415.380522251129, current best obj: -2266.65124519866.
Starting label pr__ei, seed 255246025, iteration 11, time: 2884.42995095253, current best obj: -2266.65124519866.
Starting label pr__ei, seed 255246025, iteration 12, time: 3402.634133338928, current best obj: -2266.65124519866.
Starting label pr__ei, seed 255246025, iteration 13, time: 3886.468549489975, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 14, time: 4431.45334482193, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 15, time: 5179.228007555008, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 16, time: 6010.123273611069, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 17, time: 6949.60847902298, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 18, time: 7950.959124803543, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 19, time: 8955.78274846077, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 20, time: 9865.084491729736, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 21, time: 11175.76629114151, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 22, time: 12273.886407852173, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 23, time: 13404.351245641708, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 24, time: 14656.751800060272, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 25, time: 15854.935394763947, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 26, time: 17088.19509410858, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 27, time: 18444.352251052856, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 28, time: 19749.28731918335, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 29, time: 21143.36852836609, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 30, time: 22558.53655719757, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 31, time: 23984.11171388626, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 32, time: 25565.150429725647, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 33, time: 27073.367474794388, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 34, time: 28726.41441965103, current best obj: -1444.24198595908.
Starting label pr__ei, seed 255246025, iteration 35, time: 30307.88311314583, current best obj: -1428.02541051872.
Starting label pr__ei, seed 255246025, iteration 36, time: 31981.359997987747, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 37, time: 33670.1827442646, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 38, time: 35440.8340446949, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 39, time: 37220.16388010979, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 40, time: 39043.06807231903, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 41, time: 40859.83104777336, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 42, time: 42727.137988328934, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 43, time: 44646.883751392365, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 44, time: 46665.7209546566, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 45, time: 48650.512254714966, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 46, time: 50778.207382917404, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 47, time: 52873.046122312546, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 48, time: 55023.89084601402, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 49, time: 57198.85469245911, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 50, time: 59419.68961048126, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 51, time: 61691.323489665985, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 52, time: 63911.351621866226, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 53, time: 66224.1650402546, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 54, time: 68430.43264198303, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 55, time: 70730.53850054741, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 56, time: 73376.25439953804, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 57, time: 76100.08811926842, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 58, time: 78880.55155301094, current best obj: -1248.73724251705.
Starting label pr__ei, seed 255246025, iteration 59, time: 81692.20585680008, current best obj: -1248.73724251705.
