Starting label pr__ei, seed 308621505, iteration 0, time: 0.00016427040100097656, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 1, time: 204.1150918006897, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 2, time: 369.89215064048767, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 3, time: 541.1457183361053, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 4, time: 722.0974621772766, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 5, time: 927.8649010658264, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 6, time: 1127.2275221347809, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 7, time: 1336.2729625701904, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 8, time: 1656.3555145263672, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 9, time: 2131.464094877243, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 10, time: 2617.5096983909607, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 11, time: 3143.694834947586, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 12, time: 3705.9352922439575, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 13, time: 4292.300723791122, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 14, time: 4897.563029766083, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 15, time: 5701.01820230484, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 16, time: 6555.588888168335, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 17, time: 7440.8816776275635, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 18, time: 8350.2111287117, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 19, time: 9291.329031944275, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 20, time: 10278.104217767715, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 21, time: 11572.770692586899, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 22, time: 12733.977464675903, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 23, time: 13914.36110329628, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 24, time: 15145.72847533226, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 25, time: 16399.293608427048, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 26, time: 17713.36264371872, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 27, time: 19051.598516702652, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 28, time: 20456.68673992157, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 29, time: 22023.20273923874, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 30, time: 23564.19499731064, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 31, time: 25228.7544798851, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 32, time: 26998.277397871017, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 33, time: 28608.146394729614, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 34, time: 30270.63765668869, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 35, time: 31972.666121959686, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 36, time: 33712.35522723198, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 37, time: 35490.41740345955, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 38, time: 37328.666336774826, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 39, time: 39202.5195953846, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 40, time: 41102.31281256676, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 41, time: 43056.004464387894, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 42, time: 45023.91986703873, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 43, time: 47003.79826760292, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 44, time: 49043.68817090988, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 45, time: 51108.298834085464, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 46, time: 53167.85211396217, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 47, time: 55309.50790095329, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 48, time: 57527.48942875862, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 49, time: 59791.09048867226, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 50, time: 62060.98575115204, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 51, time: 64373.77075743675, current best obj: -1072.17664104429.
Starting label pr__ei, seed 308621505, iteration 52, time: 66745.90987277031, current best obj: -1072.17664104429.
