Starting label pr__ei, seed 356027826, iteration 0, time: 0.00016236305236816406, current best obj: -1695.95800355721.
Starting label pr__ei, seed 356027826, iteration 1, time: 201.39613723754883, current best obj: -1695.95800355721.
Starting label pr__ei, seed 356027826, iteration 2, time: 364.4076611995697, current best obj: -1695.95800355721.
Starting label pr__ei, seed 356027826, iteration 3, time: 536.2941529750824, current best obj: -1695.95800355721.
Starting label pr__ei, seed 356027826, iteration 4, time: 715.7524974346161, current best obj: -1695.95800355721.
Starting label pr__ei, seed 356027826, iteration 5, time: 924.2135233879089, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 6, time: 1129.8615300655365, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 7, time: 1337.935605764389, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 8, time: 1696.7997324466705, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 9, time: 2073.808547258377, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 10, time: 2472.2756309509277, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 11, time: 2906.2974183559418, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 12, time: 3370.9079806804657, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 13, time: 3904.4595000743866, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 14, time: 4404.677571058273, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 15, time: 5049.022312402725, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 16, time: 5796.10844874382, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 17, time: 6556.502025842667, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 18, time: 7366.5444185733795, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 19, time: 8275.297117710114, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 20, time: 9175.189925670624, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 21, time: 10359.866058826447, current best obj: -1692.21572309299.
Starting label pr__ei, seed 356027826, iteration 22, time: 11536.026950836182, current best obj: -1451.78714826192.
Starting label pr__ei, seed 356027826, iteration 23, time: 12665.283838033676, current best obj: -1451.78714826192.
Starting label pr__ei, seed 356027826, iteration 24, time: 13824.66599702835, current best obj: -1451.78714826192.
Starting label pr__ei, seed 356027826, iteration 25, time: 15132.90387248993, current best obj: -1451.78714826192.
Starting label pr__ei, seed 356027826, iteration 26, time: 16326.853447437286, current best obj: -1451.78714826192.
Starting label pr__ei, seed 356027826, iteration 27, time: 17547.796174526215, current best obj: -1451.78714826192.
Starting label pr__ei, seed 356027826, iteration 28, time: 18946.059543848038, current best obj: -1451.78714826192.
Starting label pr__ei, seed 356027826, iteration 29, time: 20283.483145713806, current best obj: -1451.78714826192.
Starting label pr__ei, seed 356027826, iteration 30, time: 21705.372310876846, current best obj: -1451.78714826192.
Starting label pr__ei, seed 356027826, iteration 31, time: 23126.35704946518, current best obj: -1451.78714826192.
Starting label pr__ei, seed 356027826, iteration 32, time: 24559.2133538723, current best obj: -1451.78714826192.
Starting label pr__ei, seed 356027826, iteration 33, time: 26147.084067344666, current best obj: -1451.78714826192.
Starting label pr__ei, seed 356027826, iteration 34, time: 27694.51532649994, current best obj: -1426.62902794161.
Starting label pr__ei, seed 356027826, iteration 35, time: 29363.53374695778, current best obj: -1426.62902794161.
Starting label pr__ei, seed 356027826, iteration 36, time: 30945.050120592117, current best obj: -1426.62902794161.
Starting label pr__ei, seed 356027826, iteration 37, time: 32614.82851791382, current best obj: -1426.62902794161.
Starting label pr__ei, seed 356027826, iteration 38, time: 34288.51003742218, current best obj: -1426.62902794161.
Starting label pr__ei, seed 356027826, iteration 39, time: 36069.74075508118, current best obj: -1426.62902794161.
Starting label pr__ei, seed 356027826, iteration 40, time: 37859.439168691635, current best obj: -1426.62902794161.
Starting label pr__ei, seed 356027826, iteration 41, time: 39697.898638010025, current best obj: -1426.62902794161.
Starting label pr__ei, seed 356027826, iteration 42, time: 41531.28084182739, current best obj: -1426.62902794161.
Starting label pr__ei, seed 356027826, iteration 43, time: 43373.606635808945, current best obj: -1291.84741127166.
Starting label pr__ei, seed 356027826, iteration 44, time: 45250.07540869713, current best obj: -1291.84741127166.
Starting label pr__ei, seed 356027826, iteration 45, time: 47215.39437222481, current best obj: -1291.84741127166.
Starting label pr__ei, seed 356027826, iteration 46, time: 49202.32424354553, current best obj: -1291.84741127166.
Starting label pr__ei, seed 356027826, iteration 47, time: 51206.549221515656, current best obj: -1291.84741127166.
Starting label pr__ei, seed 356027826, iteration 48, time: 53243.80707740784, current best obj: -1291.84741127166.
Starting label pr__ei, seed 356027826, iteration 49, time: 55302.68878340721, current best obj: -1291.84741127166.
Starting label pr__ei, seed 356027826, iteration 50, time: 57418.91177177429, current best obj: -1291.84741127166.
Starting label pr__ei, seed 356027826, iteration 51, time: 59588.18413281441, current best obj: -1291.84741127166.
Starting label pr__ei, seed 356027826, iteration 52, time: 61788.65460276604, current best obj: -1291.84741127166.
Starting label pr__ei, seed 356027826, iteration 53, time: 64124.07412815094, current best obj: -1291.84741127166.
