Starting label pr__ei, seed 39508572, iteration 0, time: 0.00016117095947265625, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 1, time: 204.21815872192383, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 2, time: 390.22520542144775, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 3, time: 605.5819280147552, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 4, time: 805.5385942459106, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 5, time: 1008.3184003829956, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 6, time: 1240.1843976974487, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 7, time: 1501.3168361186981, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 8, time: 1891.3589658737183, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 9, time: 2299.00949716568, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 10, time: 2720.7375094890594, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 11, time: 3181.6505587100983, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 12, time: 3747.7501032352448, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 13, time: 4449.052799701691, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 14, time: 5109.100960969925, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 15, time: 6018.551762342453, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 16, time: 6942.2748482227325, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 17, time: 7946.146966218948, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 18, time: 9078.414101839066, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 19, time: 10185.414519309998, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 20, time: 11242.901751041412, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 21, time: 12622.063468456268, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 22, time: 13811.30644249916, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 23, time: 15091.710609674454, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 24, time: 16382.754372119904, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 25, time: 17671.04324531555, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 26, time: 19116.874595165253, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 27, time: 20525.00757908821, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 28, time: 21961.05219221115, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 29, time: 23439.62068462372, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 30, time: 24935.378771305084, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 31, time: 26555.652119636536, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 32, time: 28132.927105665207, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 33, time: 29838.80073451996, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 34, time: 31471.437395572662, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 35, time: 33204.719943761826, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 36, time: 34928.37978696823, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 37, time: 36732.29326057434, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 38, time: 38574.462842941284, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 39, time: 40523.348140478134, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 40, time: 42417.77196073532, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 41, time: 44437.49082684517, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 42, time: 46442.15108418465, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 43, time: 48552.43050765991, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 44, time: 50590.51558971405, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 45, time: 52708.043382406235, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 46, time: 54848.21295142174, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 47, time: 57002.17174124718, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 48, time: 59283.2479429245, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 49, time: 61502.4910466671, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 50, time: 63820.39639163017, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 51, time: 66183.95781040192, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 52, time: 68482.31669712067, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 53, time: 70824.16091156006, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 54, time: 73041.34040474892, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 55, time: 75306.22776174545, current best obj: -1460.17582467344.
Starting label pr__ei, seed 39508572, iteration 56, time: 77646.06858348846, current best obj: -1139.01067255424.
Starting label pr__ei, seed 39508572, iteration 57, time: 80032.37912797928, current best obj: -1139.01067255424.
Starting label pr__ei, seed 39508572, iteration 58, time: 82471.45804667473, current best obj: -1139.01067255424.
Starting label pr__ei, seed 39508572, iteration 59, time: 84940.40185713768, current best obj: -1139.01067255424.
