Starting label pr__ei, seed 267496564, iteration 0, time: 0.0001571178436279297, current best obj: -1623.5107034091.
Starting label pr__ei, seed 267496564, iteration 1, time: 201.27510976791382, current best obj: -1623.5107034091.
Starting label pr__ei, seed 267496564, iteration 2, time: 364.20149540901184, current best obj: -1623.5107034091.
Starting label pr__ei, seed 267496564, iteration 3, time: 536.0027613639832, current best obj: -1623.5107034091.
Starting label pr__ei, seed 267496564, iteration 4, time: 714.4885306358337, current best obj: -1623.5107034091.
Starting label pr__ei, seed 267496564, iteration 5, time: 903.7578146457672, current best obj: -1623.5107034091.
Starting label pr__ei, seed 267496564, iteration 6, time: 1100.4199557304382, current best obj: -1623.5107034091.
Starting label pr__ei, seed 267496564, iteration 7, time: 1307.3941621780396, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 8, time: 1642.9906063079834, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 9, time: 2009.1327466964722, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 10, time: 2399.970391511917, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 11, time: 2806.926423549652, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 12, time: 3245.5272550582886, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 13, time: 3699.801556825638, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 14, time: 4190.919871091843, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 15, time: 4873.311199903488, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 16, time: 5601.095026254654, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 17, time: 6410.574777364731, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 18, time: 7254.30042552948, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 19, time: 8128.460398197174, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 20, time: 8962.426227092743, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 21, time: 10183.940583229065, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 22, time: 11276.392754077911, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 23, time: 12394.99541592598, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 24, time: 13553.538679122925, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 25, time: 14736.79134273529, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 26, time: 15977.317419528961, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 27, time: 17250.688550710678, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 28, time: 18560.685858011246, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 29, time: 19908.929914712906, current best obj: -1477.18322261499.
Starting label pr__ei, seed 267496564, iteration 30, time: 21308.29923939705, current best obj: -1046.98707578979.
Starting label pr__ei, seed 267496564, iteration 31, time: 22717.046092748642, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 32, time: 24178.12166070938, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 33, time: 25666.552305698395, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 34, time: 27189.184945344925, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 35, time: 28748.900552034378, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 36, time: 30374.425953626633, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 37, time: 32058.340244054794, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 38, time: 33751.8353407383, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 39, time: 35499.66838812828, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 40, time: 37295.82006978989, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 41, time: 39228.7171497345, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 42, time: 41301.76826047897, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 43, time: 43446.71891617775, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 44, time: 45591.10787153244, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 45, time: 47813.37160515785, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 46, time: 50063.75940775871, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 47, time: 52183.80360198021, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 48, time: 54274.615803956985, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 49, time: 56384.83090519905, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 50, time: 58590.28046584129, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 51, time: 60733.796656131744, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 52, time: 62998.767865896225, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 53, time: 65301.26048398018, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 54, time: 67419.98599267006, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 55, time: 69711.95548939705, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 56, time: 72011.28166985512, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 57, time: 74244.56483387947, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 58, time: 76592.38646030426, current best obj: -1008.26231670283.
Starting label pr__ei, seed 267496564, iteration 59, time: 78946.23950457573, current best obj: -1008.26231670283.
