Starting label pr__ei, seed 40655150, iteration 0, time: 0.00016427040100097656, current best obj: -1697.08376710767.
Starting label pr__ei, seed 40655150, iteration 1, time: 203.06786465644836, current best obj: -1697.08376710767.
Starting label pr__ei, seed 40655150, iteration 2, time: 368.0335223674774, current best obj: -1697.08376710767.
Starting label pr__ei, seed 40655150, iteration 3, time: 540.6740787029266, current best obj: -1697.08376710767.
Starting label pr__ei, seed 40655150, iteration 4, time: 727.9091806411743, current best obj: -1697.08376710767.
Starting label pr__ei, seed 40655150, iteration 5, time: 922.3307900428772, current best obj: -1545.28224923288.
Starting label pr__ei, seed 40655150, iteration 6, time: 1120.019953250885, current best obj: -1545.28224923288.
Starting label pr__ei, seed 40655150, iteration 7, time: 1333.2630190849304, current best obj: -1545.28224923288.
Starting label pr__ei, seed 40655150, iteration 8, time: 1697.549568414688, current best obj: -1545.28224923288.
Starting label pr__ei, seed 40655150, iteration 9, time: 2081.479567050934, current best obj: -1545.28224923288.
Starting label pr__ei, seed 40655150, iteration 10, time: 2467.0849561691284, current best obj: -1545.28224923288.
Starting label pr__ei, seed 40655150, iteration 11, time: 2924.3779640197754, current best obj: -1545.28224923288.
Starting label pr__ei, seed 40655150, iteration 12, time: 3434.666785955429, current best obj: -1545.28224923288.
Starting label pr__ei, seed 40655150, iteration 13, time: 3936.1717393398285, current best obj: -1545.28224923288.
Starting label pr__ei, seed 40655150, iteration 14, time: 4496.085549354553, current best obj: -1545.28224923288.
Starting label pr__ei, seed 40655150, iteration 15, time: 5251.5618760585785, current best obj: -1545.28224923288.
Starting label pr__ei, seed 40655150, iteration 16, time: 6036.3199508190155, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 17, time: 6934.446430921555, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 18, time: 7703.880079984665, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 19, time: 8482.85846567154, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 20, time: 9410.193493366241, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 21, time: 10693.43613910675, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 22, time: 11750.668727636337, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 23, time: 12832.825331687927, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 24, time: 14072.582973241806, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 25, time: 15182.265175819397, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 26, time: 16386.981853961945, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 27, time: 17756.116769075394, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 28, time: 19049.465075969696, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 29, time: 20383.908791303635, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 30, time: 21841.910432338715, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 31, time: 23241.095672130585, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 32, time: 24776.28240799904, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 33, time: 26290.48077893257, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 34, time: 27841.403124570847, current best obj: -1403.53577685137.
Starting label pr__ei, seed 40655150, iteration 35, time: 29491.253371715546, current best obj: -1403.53577685137.
